pfam_id,protein_id,description,start,stop
mobidb-lite,A0A0C9QNG1,disorder_prediction,195,215
PF07724,A0A0C9QSS8,ATPase AAA-type core,634,809
mobidb-lite,A0A0C9QYX5,disorder_prediction,163,182
PF13499,A0A0C9R6B0,EF-hand domain,85,145
PF02195,A0A0C9RCE5,ParB/Sulfiredoxin,52,134
mobidb-lite,A0A0C9RIB1,disorder_prediction,1435,1469
PF01846,A0A0C9RKZ6,FF domain,301,350
PF07731,A0A0C9RSW8,Multicopper oxidase type 2,598,718
CoiledCoil,A0A0C9RUN4,Cog3_0 protein OS=Fopius arisanus GN=Cog3_0 PE=4 SV=1,459,480
mobidb-lite,A0A0C9RUQ3,disorder_prediction,11,31
mobidb-lite,A0A0C9S6H4,disorder_prediction,27,59
mobidb-lite,A0A0D1W2E3,disorder_prediction,1,129
PF13193,A0A0D1WHS7,AMP-binding enzyme C-terminal domain,595,671
mobidb-lite,A0A0D1WIB1,disorder_prediction,85,238
mobidb-lite,A0A0D1WXX8,disorder_prediction,181,231
PF11951,A0A0D1XC47,Fungal transcription factor,138,246
PF13847,A0A0D1XCU9,Methyltransferase domain,40,147
LowComplexity,A0A0D1XCY8,Glutamine-tRNA ligase OS=Verruconis gallopava GN=PV09_08277 PE=3 SV=1,35,54
mobidb-lite,A0A0D1XUW6,disorder_prediction,866,917
PF00149,A0A0D1XVC9,Calcineurin-like phosphoesterase domain ApaH type,12,240
mobidb-lite,A0A0D1XW70,disorder_prediction,117,148
PF00658,A0A0D1XZT1,Polyadenylate-binding protein/Hyperplastic disc protein,677,743
PF06881,A0A0D1Y3L2,RNA polymerase II transcription factor SIII subunit A,21,124
PF13805,A0A0D1Y5H6,Eisosome component PIL1/LSP1,1,199
PF00106,A0A0D1Y909,Short-chain dehydrogenase/reductase SDR,5,203
PF00149,A0A0D1YD01,Calcineurin-like phosphoesterase domain ApaH type,5,240
LowComplexity,A0A0D1YF91,Uncharacterized protein OS=Exophiala sideris GN=PV11_03738 PE=4 SV=1,963,977
PF04444,A0A0D1YG73,Catechol dioxygenase N-terminal,33,105
mobidb-lite,A0A0D1YGD0,disorder_prediction,445,470
PF02153,A0A0D1YTL3,Prephenate dehydrogenase,65,268
mobidb-lite,A0A0D1Z0F8,disorder_prediction,1,153
mobidb-lite,A0A0D1Z2C5,disorder_prediction,90,199
PF08286,A0A0D1Z5I5,Kinetochore-Ndc80 subunit Spc24,84,197
mobidb-lite,A0A0D1ZA10,disorder_prediction,1007,1049
CoiledCoil,A0A0D1ZID1,Uncharacterized protein OS=Exophiala spinifera GN=PV08_09905 PE=4 SV=1,126,154
PF01522,A0A0D1ZK19,NodB homology domain,55,149
mobidb-lite,A0A0D1ZRK4,disorder_prediction,627,657
PF00172,A0A0D1ZV83,Zn(2)-C6 fungal-type DNA-binding domain,9,42
mobidb-lite,A0A0D1ZXS8,disorder_prediction,517,619
PF00400,A0A0D1ZZM4,WD40 repeat,440,488
PF01432,A0A0D2A4Q5,Peptidase M3A/M3B catalytic domain,284,768
mobidb-lite,A0A0D2AJU0,disorder_prediction,16,77
PF00166,A0A0D2AWA3,GroES chaperonin family,11,102
PF00076,A0A0D2AYJ9,RNA recognition motif domain,58,127
PF00011,A0A0D2B403,Alpha crystallin/Hsp20 domain,180,232
PF00394,A0A0D2B631,Multicopper oxidase type 1,329,485
PF00013,A0A0D2BDD5,K Homology domain type 1,254,315
mobidb-lite,A0A0D2BL94,disorder_prediction,1131,1157
PF00004,A0A0D2BLY7,ATPase AAA-type core,219,350
PF07690,A0A0D2BR57,Major facilitator superfamily,71,527
PF00013,A0A0D2BZP1,K Homology domain type 1,245,312
CoiledCoil,A0A0D2C1S3,Uncharacterized protein OS=Exophiala xenobiotica GN=PV05_03215 PE=4 SV=1,597,632
PF00083,A0A0D2C6C9,Major facilitator  sugar transporter-like,106,561
mobidb-lite,A0A0D2C9H5,disorder_prediction,1016,1058
mobidb-lite,A0A0D2CBK4,disorder_prediction,173,194
PF08390,A0A0D2CC20,TRAM1-like protein,91,153
PF04082,A0A0D2CH55,Transcription factor domain fungi,178,318
PF15932,A0A0D2CHX8,Protein of unknown function DUF4748,3,52
PF03476,A0A0D2CHY2,MOSC N-terminal beta barrel,7,131
mobidb-lite,A0A0D2CLI1,disorder_prediction,475,736
mobidb-lite,A0A0D2CNL7,disorder_prediction,1,64
mobidb-lite,A0A0D2CWX2,disorder_prediction,107,130
mobidb-lite,A0A0D2D3P1,disorder_prediction,1,49
PF14703,A0A0D2D818,10TM putative phosphate transporter cytosolic domain,213,285
CoiledCoil,A0A0D2DJJ6,Uncharacterized protein OS=Exophiala oligosperma GN=PV06_04298 PE=3 SV=1,484,505
PF00069,A0A0D2DKZ6,Protein kinase domain,23,314
mobidb-lite,A0A0D2DT42,disorder_prediction,177,204
PF03143,A0A0D2E2I5,Translation elongation factor EFTu/EF1A C-terminal,605,713
PF00324,A0A0D2E960,Amino acid permease/ SLC12A domain,114,570
PF00076,A0A0D2EBG9,RNA recognition motif domain,94,163
mobidb-lite,A0A0D2EGF3,disorder_prediction,748,770
PF03828,A0A0D2EPN3,PAP/25A-associated,367,422
PF04567,A0A0D2ETD3,RNA polymerase Rpb2 domain 5,704,744
mobidb-lite,A0A0D2EUQ8,disorder_prediction,767,862
PF00664,A0A0D2EZV6,ABC transporter type 1 transmembrane domain,930,1167
mobidb-lite,A0A0D2F120,disorder_prediction,114,158
mobidb-lite,A0A0D2FZX5,disorder_prediction,629,677
PF02005,A0A0D2G2K8,tRNA methyltransferase Trm1,110,559
PF08393,A0A0D2J735,Dynein heavy chain domain-2,4,51
PF00175,A0A0D2LHH3,Oxidoreductase FAD/NAD(P)-binding,515,598
PF13419,A0A0D2LYY3,HAD-like domain,17,208
PF00226,A0A0D2M6U9,DnaJ domain,3,63
LowComplexity,A0A0D2MG19,Myosin-2 heavy chain OS=Monoraphidium neglectum GN=MNEG_8331 PE=4 SV=1,1096,1110
LowComplexity,A0A0D2MGR8,Uncharacterized protein OS=Monoraphidium neglectum GN=MNEG_13732 PE=4 SV=1,533,545
PF00067,A0A0D2MIC8,Cytochrome P450,32,459
PF03127,A0A0D2NE42,GAT domain,233,306
PF00179,A0A0D2NFS6,Ubiquitin-conjugating enzyme E2,41,134
mobidb-lite,A0A0D2NHC0,disorder_prediction,433,489
PF00141,A0A0D2NI64,Haem peroxidase plant/fungal/bacterial,18,217
PF12796,A0A0D2NU89,Ankyrin repeat-containing domain,85,151
PF03079,A0A0D2NVK8,Acireductone dioxygenase ARD family,3,127
mobidb-lite,A0A0D2P679,disorder_prediction,1,33
PF13639,A0A0D2PD42,Zinc finger RING-type,605,646
PF00046,A0A0D2PGW8,Homeobox domain,26,83
PF00119,A0A0D2PM55,ATP synthase F0 complex subunit A,12,155
PF13516,A0A0D2PU31,Leucine-rich repeat,279,294
PF00169,A0A0D2PUW3,Pleckstrin homology domain,36,134
PF00249,A0A0D2Q1I9,SANT/Myb domain,89,135
PF00125,A0A0D2Q261,Histone H2A/H2B/H3,19,50
mobidb-lite,A0A0D2QLQ7,disorder_prediction,525,544
PF00749,A0A0D2QT74,Glutamyl/glutaminyl-tRNA synthetase class Ib catalytic domain,270,574
mobidb-lite,A0A0D2QUX0,disorder_prediction,331,374
mobidb-lite,A0A0D2R101,disorder_prediction,1,100
PF00037,A0A0D2R6L8,4Fe-4S ferredoxin-type iron-sulphur binding domain,49,71
mobidb-lite,A0A0D2R826,disorder_prediction,452,488
PF00622,A0A0D2RKL0,SPRY domain,145,263
PF00789,A0A0D2RMC8,UBX domain,365,414
mobidb-lite,A0A0D2RRZ6,disorder_prediction,629,1562
CoiledCoil,A0A0D2S2P0,Uncharacterized protein OS=Gossypium raimondii GN=B456_006G263200 PE=4 SV=1,158,179
mobidb-lite,A0A0D2S4Q8,disorder_prediction,1,76
PF01058,A0A0D2SEE0,NADH:ubiquinone oxidoreductase-like 20kDa subunit,107,196
mobidb-lite,A0A0D2SFH7,disorder_prediction,67,108
PF11998,A0A0D2TE20,Protein of unknown function DUF3493,172,249
PF16457,A0A0D2TVA2,Pleckstrin homology domain,59,123
PF00069,A0A0D2TW42,Protein kinase domain,287,558
PF07059,A0A0D2TWX5,Protein ENHANCED DISEASE RESISTANCE 2 C-terminal,257,478
PF04884,A0A0D2UCB5,Root UVB sensitive family,46,281
PF07885,A0A0D2UFV7,Potassium channel domain,161,240
PF00004,A0A0D2UM62,ATPase AAA-type core,1,81
mobidb-lite,A0A0D2UX07,disorder_prediction,184,212
PF00637,A0A0D2UZ92,Clathrin heavy chain/VPS 7-fold repeat,701,840
PF03321,A0A0D2V126,GH3 family,13,559
PF01397,A0A0D2VH21,Terpene synthase N-terminal domain,143,194
PF01535,A0A0D3ERW4,Pentatricopeptide repeat,165,192
PF00400,A0A0D3F4C8,WD40 repeat,148,183
PF02776,A0A0D3F6X4,Thiamine pyrophosphate enzyme N-terminal TPP-binding domain,360,504
PF05739,A0A0D3F9E1,Target SNARE coiled-coil homology domain,205,253
PF03254,A0A0D3FAV5,Xyloglucan fucosyltransferase,15,478
mobidb-lite,A0A0D3FCA6,disorder_prediction,1,54
PF00300,A0A0D3FCM0,Histidine phosphatase superfamily clade-1,12,215
PF12043,A0A0D3FCP2,Protein of unknown function DUF3527,357,671
PF00288,A0A0D3FCZ2,GHMP kinase N-terminal domain,695,756
PF05794,A0A0D3FW59,T-complex 11,407,890
PF17123,A0A0D3FXT1,Zinc finger RING-type,93,122
PF00010,A0A0D3FYT8,Myc-type basic helix-loop-helix (bHLH) domain,621,666
PF04140,A0A0D3FZT6,Isoprenylcysteine carboxyl methyltransferase,29,120
PF08263,A0A0D3G296,Leucine-rich repeat-containing N-terminal plant-type,381,417
PF14641,A0A0D3G9C2,Helix-turn-helix DNA-binding domain of Spt6,308,431
mobidb-lite,A0A0D3GEZ8,disorder_prediction,1660,1682
PF10868,A0A0D3GG61,Defensin-like protein,40,87
CoiledCoil,A0A0D3GJ59,Uncharacterized protein OS=Oryza barthii PE=4 SV=1,523,544
LowComplexity,A0A0D3GM81,Uncharacterized protein OS=Oryza barthii PE=4 SV=1,616,631
PF01081,A0A0D3GNR0,KDPG/KHG aldolase,41,176
mobidb-lite,A0A0D3GUZ6,disorder_prediction,881,949
PF06880,A0A0D3H075,Protein of unknown function DUF1262,27,128
PF08240,A0A0D3H3V6,Alcohol dehydrogenase N-terminal,7,137
PF14700,A0A0D3H418,DNA-directed RNA polymerase N-terminal,125,445
PF12796,A0A0D3HK47,Ankyrin repeat-containing domain,5,91
PF08263,A0A0D3HN64,Leucine-rich repeat-containing N-terminal plant-type,30,68
PF00557,A0A0D3HU34,Peptidase M24,202,429
PF00115,A0A0D3L685,Cytochrome c oxidase subunit I,1,180
PF01824,A0A0D3M1C1,Maturase MatK N-terminal domain,1,157
PF00623,A0A0D3M6B6,RNA polymerase alpha subunit,431,513
PF10413,A0A0D3QTQ1,Rhodopsin N-terminal,2,30
PF00022,A0A0D3QY55,Actin family,2,155
PF01824,A0A0D4BQR0,Maturase MatK N-terminal domain,1,169
PF01348,A0A0D4BS96,Domain X,189,261
PF09425,A0A0D4D5C5,CO/COL/TOC1 conserved site,158,182
PF00146,A0A0D5MDX5,NADH:ubiquinone oxidoreductase subunit 1/F420H2 oxidoreductase subunit H,1,167
PF03106,A0A0D5YA29,WRKY domain,41,97
mobidb-lite,A0A0D6EIN0,disorder_prediction,19,162
PF00288,A0A0D6ENV5,GHMP kinase N-terminal domain,173,246
PF00787,A0A0D6ETE0,Phox homologous domain,87,199
mobidb-lite,A0A0D6LJF5,disorder_prediction,2133,2158
PF01979,A0A0D6LM05,Amidohydrolase-related,82,263
PF02887,A0A0D6LTY2,Pyruvate kinase C-terminal,249,310
PF01591,A0A0D6LUX2,6-phosphofructo-2-kinase,8,198
mobidb-lite,A0A0D6LX61,disorder_prediction,1532,1559
PF02995,A0A0D6M2K0,Protein of unknown function DUF229,1,140
mobidb-lite,A0A0D6M3G0,disorder_prediction,125,183
PF07540,A0A0D6M6X9,Nucleolar complex-associated protein 3 N-terminal,227,323
PF03195,A0A0D6QX50,Lateral organ boundaries LOB,66,164
mobidb-lite,A0A0D6R549,disorder_prediction,92,133
PF10584,A0A0D6R551,Proteasome alpha-subunit N-terminal domain,5,27
PF00400,A0A0D6R6Q9,WD40 repeat,184,223
PF02798,A0A0D6R7W7,Glutathione S-transferase N-terminal,13,76
PF00628,A0A0D8XAN1,Zinc finger PHD-finger,554,599
PF00620,A0A0D8XCI9,Rho GTPase-activating protein domain,244,285
PF07857,A0A0D8XNL4,TMEM144,3,332
PF07690,A0A0D8XXG4,Major facilitator superfamily,109,436
mobidb-lite,A0A0D9QIA6,disorder_prediction,561,593
PF00400,A0A0D9QKV8,WD40 repeat,48,77
PF15001,A0A0D9QLJ8,AP-5 complex subunit sigma-1,1,199
PF03097,A0A0D9QMI6,BRO1 domain,28,381
PF01467,A0A0D9QMR0,Cytidyltransferase-like domain,546,689
mobidb-lite,A0A0D9QN56,disorder_prediction,183,218
mobidb-lite,A0A0D9QS71,disorder_prediction,778,835
PF00023,A0A0D9QUX9,Ankyrin repeat,161,187
PF00149,A0A0D9QV89,Calcineurin-like phosphoesterase domain ApaH type,139,341
PF01094,A0A0D9QW23,Receptor ligand binding region,5,319
mobidb-lite,A0A0D9QWI9,disorder_prediction,1820,1973
PF00057,A0A0D9QY32,Low-density lipoprotein (LDL) receptor class A repeat,1062,1097
LowComplexity,A0A0D9QY32,Uncharacterized protein OS=Chlorocebus sabaeus GN=LRP1 PE=4 SV=1,2,14
PF01840,A0A0D9R2J2,TCL1/MTCP1,5,104
PF12417,A0A0D9R3V4,Protein of unknown function DUF3669 zinc finger protein,44,112
CoiledCoil,A0A0D9R4W5,Uncharacterized protein OS=Chlorocebus sabaeus GN=CAGE1 PE=4 SV=1,523,558
CoiledCoil,A0A0D9R4X8,Uncharacterized protein OS=Chlorocebus sabaeus GN=BICD1 PE=4 SV=1,45,73
mobidb-lite,A0A0D9R995,disorder_prediction,253,282
PF00400,A0A0D9RFL8,WD40 repeat,596,633
PF00880,A0A0D9RJD9,Nebulin repeat,320,348
PF00005,A0A0D9RM21,ABC transporter-like,578,712
mobidb-lite,A0A0D9RMC5,disorder_prediction,658,691
PF03281,A0A0D9RNH1,Mab-21 domain,214,513
PF00013,A0A0D9RP20,K Homology domain type 1,609,666
PF01740,A0A0D9RSG8,STAS domain,535,683
mobidb-lite,A0A0D9RWF2,disorder_prediction,1,54
mobidb-lite,A0A0D9RX26,disorder_prediction,1,44
PF00876,A0A0D9S1A7,Innexin,47,236
PF15068,A0A0D9S564,Refilin family,1,202
PF00397,A0A0D9SET0,WW domain,141,170
PF00534,A0A0D9V520,Glycosyl transferase family 1,759,910
PF00808,A0A0D9V9Y7,Transcription factor CBF/NF-Y/archaeal histone domain,43,106
PF08071,A0A0D9VB52,Ribosomal protein S4e N-terminal,3,39
mobidb-lite,A0A0D9VC91,disorder_prediction,471,510
PF08132,A0A0D9VI69,S-adenosyl-l-methionine decarboxylase leader peptide,1,47
PF04112,A0A0D9VMA0,NatC N(alpha)-terminal acetyltransferase Mak10 subunit,43,186
PF10294,A0A0D9VPF3,Lysine methyltransferase,343,499
PF00587,A0A0D9VQS6,Aminoacyl-tRNA synthetase class II (G/ P/ S/T),218,398
mobidb-lite,A0A0D9VVZ8,disorder_prediction,1188,1228
PF00355,A0A0D9W0D2,Rieske [2Fe-2S] iron-sulphur domain,71,152
PF13041,A0A0D9W3Q3,Pentatricopeptide repeat,1313,1361
LowComplexity,A0A0D9W7F7,Uncharacterized protein OS=Leersia perrieri PE=4 SV=1,29,41
PF01740,A0A0D9WAF3,STAS domain,877,994
PF00854,A0A0D9WAP4,Proton-dependent oligopeptide transporter family,115,563
PF04844,A0A0D9WH16,Ovate  protein family C-terminal,171,228
mobidb-lite,A0A0D9WKV1,disorder_prediction,1324,1449
PF00657,A0A0D9WLC1,GDSL lipase/esterase,46,376
LowComplexity,A0A0D9WN63,Uncharacterized protein OS=Leersia perrieri PE=4 SV=1,110,122
PF00004,A0A0D9WT32,ATPase AAA-type core,320,451
PF01535,A0A0D9X147,Pentatricopeptide repeat,380,405
PF07859,A0A0D9X1B0,Alpha/beta hydrolase fold-3,93,221
mobidb-lite,A0A0D9XD69,disorder_prediction,11,218
PF14226,A0A0D9XMD0,Non-haem dioxygenase N-terminal domain,466,574
PF01357,A0A0D9XPW5,Expansin cellulose-binding-like domain,170,252
mobidb-lite,A0A0D9XR98,disorder_prediction,618,651
PF00899,A0A0D9XSA8,THIF-type NAD/FAD binding fold,18,313
PF14377,A0A0D9XYW9,Domain of unknown function DUF4414,2564,2662
PF00069,A0A0D9Y1R3,Protein kinase domain,677,956
PF07228,A0A0D9Y3N8,PPM-type phosphatase domain,73,292
mobidb-lite,A0A0D9Y4H2,disorder_prediction,113,162
LowComplexity,A0A0D9Y5G6,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Oryza glumipatula PE=3 SV=1,339,353
PF08458,A0A0D9Y5M7,Pleckstrin-like plant,320,399
PF07762,A0A0D9Y5Z3,Domain of unknown function DUF1618,269,393
mobidb-lite,A0A0D9Y8Q5,disorder_prediction,27,50
PF00628,A0A0D9YAA9,Zinc finger PHD-finger,1179,1224
PF12783,A0A0D9YFL0,Guanine nucleotide exchange factor N-terminal,175,226
PF13639,A0A0D9YPW1,Zinc finger RING-type,1394,1437
PF06273,A0A0D9YRR3,Plant specific eukaryotic initiation factor 4B,5,177
PF07893,A0A0D9YSS4,Protein of unknown function DUF1677 Oryza sativa,30,353
mobidb-lite,A0A0D9YSS6,disorder_prediction,37,111
mobidb-lite,A0A0D9YXP4,disorder_prediction,110,169
mobidb-lite,A0A0D9Z0B9,disorder_prediction,1,25
mobidb-lite,A0A0D9Z448,disorder_prediction,1,36
mobidb-lite,A0A0D9Z5L4,disorder_prediction,27,57
LowComplexity,A0A0D9Z9A6,Uncharacterized protein OS=Oryza glumipatula PE=3 SV=1,168,181
PF01728,A0A0D9ZF41,Ribosomal RNA methyltransferase FtsJ domain,58,257
PF12022,A0A0D9ZFT7,COG complex component COG2 C-terminal,594,719
PF03171,A0A0D9ZG20,Oxoglutarate/iron-dependent dioxygenase,212,310
PF16486,A0A0D9ZGT3,Protein argonaute N-terminal,66,227
PF00195,A0A0D9ZIP4,Chalcone/stilbene synthase N-terminal,12,241
PF00036,A0A0D9ZMT3,EF-hand domain,75,100
mobidb-lite,A0A0D9ZSP0,disorder_prediction,305,356
PF00364,A0A0D9ZWV5,Biotin/lipoyl attachment,896,952
PF09328,A0A0D9ZZ74,Phytochelatin synthase C-terminal,263,518
PF05641,A0A0E0ABJ1,Agenet-like domain,6,63
mobidb-lite,A0A0E0ACY3,disorder_prediction,1,32
mobidb-lite,A0A0E0AP77,disorder_prediction,611,630
PF12872,A0A0E0AQD5,OST-HTH/LOTUS domain,264,342
PF00781,A0A0E0ASV7,Diacylglycerol kinase catalytic domain,29,110
PF09753,A0A0E0B0L5,Vesicle transport protein Use1,56,251
LowComplexity,A0A0E0B569,Uncharacterized protein OS=Oryza glumipatula PE=4 SV=1,110,124
PF04573,A0A0E0B6F9,Signal peptidase complex subunit 3,6,164
LowComplexity,A0A0E0BG74,Uncharacterized protein OS=Oryza glumipatula PE=4 SV=1,315,330
PF06964,A0A0E0BNF4,Alpha-L-arabinofuranosidase C-terminal,247,412
PF08263,A0A0E0BP74,Leucine-rich repeat-containing N-terminal plant-type,34,73
PF00931,A0A0E0BQ74,NB-ARC,206,474
mobidb-lite,A0A0E0BRY0,disorder_prediction,300,321
PF00168,A0A0E0C205,C2 domain,6,107
PF07777,A0A0E0C5J7,G-box binding protein multifunctional mosaic region,1,92
PF01434,A0A0E0CA56,Peptidase M41,543,734
PF12515,A0A0E0CEK7,Calcium-transporting P-type ATPase N-terminal autoinhibitory domain,31,73
PF04782,A0A0E0CGG3,Domain of unknown function DUF632,277,409
mobidb-lite,A0A0E0CN95,disorder_prediction,207,227
PF02701,A0A0E0CQX3,Zinc finger Dof-type,44,99
PF08263,A0A0E0CUJ3,Leucine-rich repeat-containing N-terminal plant-type,33,70
mobidb-lite,A0A0E0CVD5,disorder_prediction,26,55
PF13041,A0A0E0CVL2,Pentatricopeptide repeat,140,188
CoiledCoil,A0A0E0CYV0,Uncharacterized protein OS=Oryza meridionalis PE=3 SV=1,422,443
PF01842,A0A0E0D638,ACT domain,401,456
PF00521,A0A0E0D8N0,DNA topoisomerase type IIA subunit A/C-terminal,103,538
mobidb-lite,A0A0E0D9W8,disorder_prediction,588,663
PF09733,A0A0E0DAL6,Polycomb protein VEFS-Box,445,580
mobidb-lite,A0A0E0DJ60,disorder_prediction,1,28
mobidb-lite,A0A0E0DLX1,disorder_prediction,1033,1213
PF06749,A0A0E0DRT6,Protein of unknown function DUF1218,253,306
PF17207,A0A0E0DSW5,MCM OB domain,110,240
PF13855,A0A0E0DU21,Leucine-rich repeat,421,481
PF00177,A0A0E0DWX9,Ribosomal protein S7 domain,3,132
PF00724,A0A0E0DYV7,NADH:flavin oxidoreductase/NADH oxidase N-terminal,433,733
LowComplexity,A0A0E0E4P6,Uncharacterized protein OS=Oryza meridionalis PE=4 SV=1,34,47
PF00071,A0A0E0E8E7,Small GTPase superfamily,679,709
PF17137,A0A0E0EAG8,Domain of unknown function DUF5110,1959,2027
CoiledCoil,A0A0E0EBV8,Uncharacterized protein OS=Oryza meridionalis PE=4 SV=1,402,430
PF13962,A0A0E0ECB6,PGG domain,462,574
PF04488,A0A0E0ED83,Glycosyltransferase DXD sugar-binding motif,351,462
mobidb-lite,A0A0E0EEE5,disorder_prediction,236,291
mobidb-lite,A0A0E0EM71,disorder_prediction,426,465
PF03478,A0A0E0F6Y7,Domain unknown function DUF295,252,310
PF01535,A0A0E0F8K0,Pentatricopeptide repeat,238,268
LowComplexity,A0A0E0FCT0,Uncharacterized protein OS=Oryza meridionalis PE=4 SV=1,80,92
PF03106,A0A0E0FDS2,WRKY domain,299,355
PF07714,A0A0E0FDW0,Serine-threonine/tyrosine-protein kinase catalytic domain,882,1130
mobidb-lite,A0A0E0FHX3,disorder_prediction,31,70
PF00225,A0A0E0FPB7,Kinesin motor domain,212,535
CoiledCoil,A0A0E0FS65,Uncharacterized protein OS=Oryza nivara PE=3 SV=1,1026,1074
mobidb-lite,A0A0E0FSK0,disorder_prediction,113,153
mobidb-lite,A0A0E0FT99,disorder_prediction,1,30
mobidb-lite,A0A0E0FVJ3,disorder_prediction,1,122
PF09740,A0A0E0G539,Protein of unknown function DUF2043,419,520
mobidb-lite,A0A0E0GDP7,disorder_prediction,871,957
mobidb-lite,A0A0E0GH38,disorder_prediction,112,146
PF05603,A0A0E0GJF8,Domain of unknown function DUF775,1,110
PF00412,A0A0E0GKC8,Zinc finger LIM-type,9,64
PF00072,A0A0E0GSX1,Signal transduction response regulator receiver domain,870,938
PF08446,A0A0E0GSY5,PAS fold-2,70,186
mobidb-lite,A0A0E0GZF2,disorder_prediction,107,127
mobidb-lite,A0A0E0GZF3,disorder_prediction,60,84
mobidb-lite,A0A0E0H285,disorder_prediction,1,35
PF01592,A0A0E0HIL7,NIF system FeS cluster assembly NifU N-terminal,41,165
PF13855,A0A0E0HKP2,Leucine-rich repeat,452,511
PF00076,A0A0E0HUR2,RNA recognition motif domain,121,184
mobidb-lite,A0A0E0HVH8,disorder_prediction,1,44
PF00023,A0A0E0I100,Ankyrin repeat,143,163
CoiledCoil,A0A0E0IKE9,Uncharacterized protein OS=Oryza nivara PE=4 SV=1,131,152
PF09748,A0A0E0IMP3,Mediator complex subunit Med10,46,159
PF00892,A0A0E0IQG0,EamA domain,164,302
PF07762,A0A0E0ISX6,Domain of unknown function DUF1618,161,205
PF13041,A0A0E0ITZ3,Pentatricopeptide repeat,203,250
mobidb-lite,A0A0E0J3U0,disorder_prediction,56,121
PF00400,A0A0E0J758,WD40 repeat,112,145
PF13041,A0A0E0J893,Pentatricopeptide repeat,443,489
PF00069,A0A0E0JDT0,Protein kinase domain,372,569
PF02373,A0A0E0JH67,JmjC domain,305,419
CoiledCoil,A0A0E0JN73,Uncharacterized protein OS=Oryza punctata PE=3 SV=1,985,1013
mobidb-lite,A0A0E0JQC6,disorder_prediction,306,339
PF14845,A0A0E0JS14,Beta-hexosaminidase eukaryotic type N-terminal,67,185
PF13181,A0A0E0JSG5,Tetratricopeptide repeat,109,138
PF03083,A0A0E0JYT7,SWEET sugar transporter,133,217
PF00134,A0A0E0JZD0,Cyclin N-terminal,54,154
mobidb-lite,A0A0E0K4N7,disorder_prediction,1,178
mobidb-lite,A0A0E0KBB1,disorder_prediction,452,476
mobidb-lite,A0A0E0KDX9,disorder_prediction,202,248
PF16709,A0A0E0KE15,Stomatal closure-related actin-binding protein fused Ig-PH domain,285,489
PF13041,A0A0E0KG69,Pentatricopeptide repeat,930,979
mobidb-lite,A0A0E0KGY6,disorder_prediction,504,537
mobidb-lite,A0A0E0KHA0,disorder_prediction,323,345
mobidb-lite,A0A0E0KKD1,disorder_prediction,413,522
mobidb-lite,A0A0E0KLU4,disorder_prediction,194,215
PF03107,A0A0E0KUZ0,DC1,344,385
PF00202,A0A0E0KV59,Aminotransferase class-III,82,264
PF02201,A0A0E0KWF2,SWIB/MDM2 domain,317,380
PF02254,A0A0E0KWZ6,Regulator of K+ conductance N-terminal,2121,2224
mobidb-lite,A0A0E0KYQ1,disorder_prediction,488,702
PF00415,A0A0E0L595,Regulator of chromosome condensation RCC1,320,370
mobidb-lite,A0A0E0LEC4,disorder_prediction,687,721
LowComplexity,A0A0E0LSS1,Uncharacterized protein OS=Oryza punctata PE=4 SV=1,115,134
mobidb-lite,A0A0E0M0F5,disorder_prediction,218,247
mobidb-lite,A0A0E0M3D5,disorder_prediction,43,293
PF10607,A0A0E0M759,CTLH/CRA C-terminal to LisH motif domain,80,143
mobidb-lite,A0A0E0MFD0,disorder_prediction,328,353
PF00443,A0A0E0MGI4,Peptidase C19 ubiquitin carboxyl-terminal hydrolase,295,616
PF00010,A0A0E0MV07,Myc-type basic helix-loop-helix (bHLH) domain,180,222
LowComplexity,A0A0E0N1F9,Uncharacterized protein OS=Oryza rufipogon PE=4 SV=1,22,34
PF00696,A0A0E0N2V8,Aspartate/glutamate/uridylate kinase,66,353
PF13855,A0A0E0NB12,Leucine-rich repeat,93,150
PF02130,A0A0E0NBZ7,Endoribonuclease YbeY,150,266
PF08699,A0A0E0NNB7,Argonaute linker 1 domain,306,355
LowComplexity,A0A0E0NVC0,Uncharacterized protein OS=Oryza rufipogon PE=4 SV=1,8,28
PF00072,A0A0E0PBQ9,Signal transduction response regulator receiver domain,17,125
LowComplexity,A0A0E0PC25,Uncharacterized protein OS=Oryza rufipogon PE=4 SV=1,245,260
PF15044,A0A0E0PEU3,Clustered mitochondria protein N-terminal,53,124
PF03595,A0A0E0PJV2,Voltage-dependent anion channel,38,360
PF01423,A0A0E0PKL0,LSM domain eukaryotic/archaea-type,27,101
mobidb-lite,A0A0E0Q2P1,disorder_prediction,462,559
mobidb-lite,A0A0E0QAP7,disorder_prediction,364,469
PF00149,A0A0E0QF27,Calcineurin-like phosphoesterase domain ApaH type,2,241
PF00122,A0A0E0QIC6,P-type ATPase A  domain,150,396
PF00076,A0A0E0QKH4,RNA recognition motif domain,19,87
PF00651,A0A0E0QNE7,BTB/POZ domain,80,187
PF03478,A0A0E0QV64,Domain unknown function DUF295,584,629
PF00722,A0A0E0QVQ5,Glycoside hydrolase family 16,48,229
PF13243,A0A0E0R726,Squalene cyclase C-terminal,302,636
PF11820,A0A0E0R8Q1,Protein of unknown function DUF3339,1,67
mobidb-lite,A0A0E0RBI9,disorder_prediction,1,69
mobidb-lite,A0A0E0RBT6,disorder_prediction,526,546
